#name	freq	kmpr	ikmpr	df	doodson1	doodson2	doodson3	doodson4	doodson5	doodson6	semi	isat	nsat	ishallow	nshallow	doodsonamp	doodsonspecies
SO1 	0.044603	OO1 	28.000000	0.000228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.000000	2.000000	NaN	NaN
OO1 	0.044831	J1  	25.000000	0.001538	1.000000	3.000000	0.000000	0.000000	0.000000	0.000000	-0.750000	91.000000	8.000000	NaN	NaN	-0.016230	-1.000000
UPS1	0.046343	OO1 	28.000000	0.001512	1.000000	4.000000	0.000000	-1.000000	0.000000	0.000000	-0.750000	99.000000	5.000000	NaN	NaN	-0.003110	-1.000000
ST36	0.073355	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000000	3.000000	NaN	NaN
2NS2	0.074665	--   	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000000	2.000000	NaN	NaN
ST37	0.074868	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.000000	2.000000	NaN	NaN
ST1 	0.074893	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.000000	3.000000	NaN	NaN
OQ2 	0.075975	EPS2	35.000000	0.000202	2.000000	-3.000000	0.000000	3.000000	0.000000	0.000000	0.000000	104.000000	2.000000	NaN	NaN	0.002590	2.000000
EPS2	0.076177	2N2 	39.000000	0.001310	2.000000	-3.000000	2.000000	1.000000	0.000000	0.000000	0.000000	106.000000	3.000000	NaN	NaN	0.006710	2.000000
ST2 	0.076405	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	15.000000	4.000000	NaN	NaN
ST3 	0.077233	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.000000	3.000000	NaN	NaN
O2  	0.077461	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.000000	1.000000	NaN	NaN
2N2 	0.077487	MU2 	40.000000	0.000202	2.000000	-2.000000	0.000000	2.000000	0.000000	0.000000	0.000000	109.000000	4.000000	NaN	NaN	0.023010	2.000000
MU2 	0.077689	N2  	42.000000	0.001310	2.000000	-2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	113.000000	3.000000	NaN	NaN	0.027770	2.000000
SNK2	0.078771	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26.000000	3.000000	NaN	NaN
N2  	0.078999	M2  	48.000000	0.001512	2.000000	-1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	116.000000	4.000000	NaN	NaN	0.173870	2.000000
NU2 	0.079202	N2  	42.000000	0.000202	2.000000	-1.000000	2.000000	-1.000000	0.000000	0.000000	0.000000	120.000000	4.000000	NaN	NaN	0.033030	2.000000
ST4 	0.079456	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.000000	3.000000	NaN	NaN
OP2 	0.080283	--   	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29.000000	2.000000	NaN	NaN
GAM2	0.080309	H1  	47.000000	0.000088	2.000000	0.000000	-2.000000	2.000000	0.000000	0.000000	-0.500000	124.000000	3.000000	NaN	NaN	-0.002730	2.000000
H1  	0.080397	M2  	48.000000	0.000114	2.000000	0.000000	-1.000000	0.000000	0.000000	1.000000	-0.500000	127.000000	2.000000	NaN	NaN	-0.003140	2.000000
M2  	0.080511	Z0  	1.000000	0.080511	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	129.000000	9.000000	NaN	NaN	0.908120	2.000000
H2  	0.080625	M2  	48.000000	0.000114	2.000000	0.000000	1.000000	0.000000	0.000000	-1.000000	0.000000	138.000000	1.000000	NaN	NaN	0.002760	2.000000
MKS2	0.080740	M2  	48.000000	0.000228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	31.000000	3.000000	NaN	NaN
ST5 	0.080968	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	34.000000	3.000000	NaN	NaN
ST6 	0.081593	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	37.000000	4.000000	NaN	NaN
LDA2	0.081821	L2  	54.000000	0.000202	2.000000	1.000000	-2.000000	1.000000	0.000000	0.000000	-0.500000	139.000000	1.000000	NaN	NaN	-0.006700	2.000000
L2  	0.082024	S2  	57.000000	0.001310	2.000000	1.000000	0.000000	-1.000000	0.000000	0.000000	-0.500000	140.000000	5.000000	NaN	NaN	-0.025670	2.000000
2SK2	0.083105	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	41.000000	2.000000	NaN	NaN
T2  	0.083219	S2  	57.000000	0.000114	2.000000	2.000000	-3.000000	0.000000	0.000000	1.000000	0.000000	NaN	NaN	NaN	NaN	0.024790	2.000000
S2  	0.083333	M2  	48.000000	0.002822	2.000000	2.000000	-2.000000	0.000000	0.000000	0.000000	0.000000	145.000000	3.000000	NaN	NaN	0.423580	2.000000
R2  	0.083447	S2  	57.000000	0.000114	2.000000	2.000000	-1.000000	0.000000	0.000000	-1.000000	-0.500000	148.000000	2.000000	NaN	NaN	-0.003540	2.000000
K2  	0.083561	S2  	57.000000	0.000228	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	150.000000	5.000000	NaN	NaN	0.115060	2.000000
MSN2	0.084845	ETA2	61.000000	0.000228	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	43.000000	3.000000	NaN	NaN
ETA2	0.085074	K2  	59.000000	0.001512	2.000000	3.000000	0.000000	-1.000000	0.000000	0.000000	0.000000	155.000000	7.000000	NaN	NaN	0.006430	2.000000
ST7 	0.085302	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46.000000	4.000000	NaN	NaN
2SM2	0.086155	--    	NaN	0.000000	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	50.000000	2.000000	NaN	NaN
